-0.00005238	0.00009920	-0.00080846
-0.00005813	-0.00000227	-0.00097010
-0.00004750	-0.00007226	-0.00120975
-0.00000381	-0.00004919	-0.00131363
-0.00002917	-0.00007850	-0.00107716
-0.00001835	-0.00004592	-0.00099851
-0.00004340	0.00000466	-0.00087776
-0.00003531	0.00004879	-0.00099631
-0.00004402	0.00007346	-0.00089703
-0.00001935	0.00007722	-0.00109034
-0.00002463	0.00014895	-0.00130375
-0.00020287	0.00045870	-0.00111126
-0.00074512	0.00137010	0.00009074
-0.00182037	0.00287907	0.00174261
-0.00333754	0.00427565	0.00340823
-0.00505788	0.00528365	0.00417604
-0.00671972	0.00574864	0.00474891
-0.00805543	0.00590093	0.00465647
-0.00898427	0.00561201	0.00424519
-0.00928794	0.00486103	0.00295071
-0.00896542	0.00360263	0.00107593
-0.00796424	0.00170879	-0.00204425
-0.00639326	-0.00076485	-0.00571867
-0.00440800	-0.00342932	-0.00809416
-0.00209889	-0.00568315	-0.00778792
0.00009179	-0.00686668	-0.00463501
0.00198500	-0.00645904	-0.00100256
0.00332886	-0.00497703	0.00157010
0.00428109	-0.00301139	0.00230588
0.00471122	-0.00144462	0.00267908
0.00474890	-0.00017575	0.00335318
