-0.00000130	0.00001228	0.00049822
-0.00004623	0.00004287	0.00059291
-0.00006694	0.00005561	0.00065944
-0.00008585	0.00007484	0.00072069
-0.00009265	0.00009535	0.00074845
-0.00009500	0.00012421	0.00076012
-0.00009660	0.00015760	0.00075237
-0.00010225	0.00019562	0.00075097
-0.00011141	0.00024258	0.00072434
-0.00012733	0.00030732	0.00072673
-0.00015054	0.00041267	0.00073115
-0.00018571	0.00056673	0.00076473
-0.00023582	0.00077885	0.00079565
-0.00030677	0.00104988	0.00083066
-0.00040307	0.00136938	0.00081367
-0.00052801	0.00171486	0.00071177
-0.00068422	0.00207558	0.00051240
-0.00087164	0.00242991	0.00023102
-0.00109687	0.00275570	-0.00006864
-0.00135692	0.00302124	-0.00036599
-0.00164861	0.00322553	-0.00060703
-0.00196022	0.00335759	-0.00080233
-0.00229120	0.00341589	-0.00091794
-0.00263074	0.00339733	-0.00099084
-0.00297423	0.00332406	-0.00099450
-0.00331486	0.00319707	-0.00094638
-0.00365584	0.00301646	-0.00081940
-0.00398627	0.00279078	-0.00066506
-0.00429733	0.00253799	-0.00051261
-0.00458335	0.00226408	-0.00037295
-0.00484320	0.00196595	-0.00023479
-0.00507065	0.00166459	-0.00011460
-0.00526263	0.00138413	-0.00003913
-0.00542328	0.00113281	0.00000216
-0.00555094	0.00091512	-0.00004614
-0.00564659	0.00072862	-0.00017448
-0.00571013	0.00055221	-0.00037650
-0.00574940	0.00034704	-0.00055044
-0.00576474	0.00009782	-0.00068614
-0.00576006	-0.00019938	-0.00072150
-0.00573312	-0.00052868	-0.00068818
-0.00568217	-0.00086784	-0.00060709
-0.00560104	-0.00119326	-0.00057434
-0.00548279	-0.00149255	-0.00058996
-0.00532561	-0.00177160	-0.00065254
-0.00513356	-0.00202773	-0.00073200
-0.00491500	-0.00226634	-0.00078242
-0.00467680	-0.00248745	-0.00073246
-0.00442822	-0.00269536	-0.00055521
-0.00417428	-0.00288403	-0.00027874
-0.00391154	-0.00304998	0.00005284
-0.00363581	-0.00318860	0.00039107
-0.00334477	-0.00328898	0.00070787
-0.00304139	-0.00334406	0.00098617
-0.00272537	-0.00334164	0.00125242
-0.00240261	-0.00328655	0.00152966
-0.00207565	-0.00316800	0.00183262
-0.00174795	-0.00298038	0.00214400
-0.00142033	-0.00271181	0.00245719
-0.00109887	-0.00236923	0.00276161
-0.00078867	-0.00195388	0.00306506
-0.00050022	-0.00148505	0.00336710
-0.00023760	-0.00096914	0.00363447
-0.00000761	-0.00042247	0.00383208
0.00019413	0.00015584	0.00393729
0.00036586	0.00078251	0.00387977
0.00052691	0.00141953	0.00376536
0.00065829	0.00214417	0.00339471
